document,,,,,,,,,
PMID/PM,Publisher,Journal tit,Article titl,COST (£) charged to Wellcome (inc VAT when charged),,,,,
PMCID: P,American,Journal of,SLP-76 ste,£1160.09,,,,,
PMCID: P,American,Journal of,?-Amino-,£1166.85,,,,,
PMCID:,American,Journal of,The HsiB1,£1261.44,,,,,
    PMC3597794,,,,,,,,,
PMC35222,American,Journal of,Transcript,£1276.08,,,,,
PMC37744,American,JOURNAL,P2X recep,£1540.00,,,,,
PMC36109,American,Journal of,Caspase i,£1586.36,,,,,
3610976,American,Journal of,Estrogen r,£1664.94,,,,,
PMC3696691,American,Journal of,ZINC-IND,£1743.84,,,,,
,,,,,,,,,
23344959  ,American,Journal of,ca2+ signa,£2501.07,,,,,
PMCID: P,American,Journal of,The sigma,£955.00,,,,,
PMCID:,American,Journal of,Mechanis,£969.68,,,,,
    PMC3789947,,,,,,,,,
PMCID: P,American,The Journ,Endomem,£1166.60,,,,,
3947303,American,American,Trophobla,£995.31,,,,,
PMID: 238,American,Antimicro,The R Ena,£1287.19,,,,,
PMCID: P,American,Antimicro,Assessing,£1287.20,,,,,
PMID:238,American,Antimicro,Immunoa,£1521.66,,,,,
23877697,American,Antimicro,Cyclic AM,£3750.05,,,,,
PMCID: P,American,Clinical an,The Alveo,£743.85,,,,,
PMC36974,American,Eukaryoti,Discovery,£1653.18,,,,,
PMC35713,American,Eukaryoti,Evidence,£2316.16,,,,,
PMID:229,American,Infection,Dectin-1 i,£1910.82,,,,,
PMC in pr,American,Infection,Analysis o,£2034.00,,,,,
PMCID: P,American,Infection,Progressi,£2249.43,,,,,
PMC37545,American,Journal of,The agr lo,£1343.82,,,,,
NA,American,Journal of,The huma,£1312.59,,,,,
PMID: 231,American,Journal of,"Novel, po",£1549.44,,,,,
PMCID:,American,Journal of,Structures,£1585.64,,,,,
    PMC3648151,,,,,,,,,
PMCID:,American,Mbio,EspZ of en,£1586.75,,,,,
    PMC3518918,,,,,,,,,
,,,,,,,,,
PMCID: P,American,Molecular,The mous,£2363.45,,,,,
PMCID:,American,Journal of,Molecular,£1503.47,,,,,
    PMC3697669,,,,,,,,,
PMCID:,American Society for Microbiology,Journal of Virology,Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells,£1871.85,,,,,
    PMC3554100,,,,,,,,,
    [Available on 2013/7/1],,,,,,,,,
NA,American,American,The associ,£45.94,,,,,
NA,American,Blood,Disease-a,£1260.26,,,,,
NA,American,Blood,SAP gene,£1260.26,,,,,
23255554,American,Blood Jou,Peptide L,£1597.98,,,,,
NA,American,Blood,Super-res,£1230.40,,,,,
PMC35016,American,Blood,Induction,£1288.14,,,,,
PMCID: P,American,Blood,Siglec-E is,£1340.75,,,,,
23002116,American,Blood,Evaluatio,£1527.20,,,,,
PMCID:,American,Blood,Characteri,£1543.44,,,,,
    PMC3689249,,,,,,,,,
23043070,American,Blood Jou,Epidermis,£1578.43,,,,,
PMC33972,American,THE AMER,Mutations,£2181.09,,,,,
PMC36976,American,Jounral of,Evaluatio,£1364.47,,,,,
22875964,American,Journal of,"Structure,",£1247.41,,,,,
PMC36243,American,Journal of,Genetic v,£2019.89,,,,,
NA,American,Speech La,Develop,£1969.02,,,,,
PMCID: 35,ASBMB,BIOLOGIC,MOLECUL,£946.55,,,,,
PMC35916,ASBMB,Biologicia,Molecular,£1281.59,,,,,
PMC34389,ASBMB,J Biol Che,Structure,£1290.23,,,,,
PMC33088,ASBMB,J Biol Che,Structural,£1508.97,,,,,
PMC32658,ASBMB,J Biol Che,Structural,£1521.32,,,,,
PMC35978,ASBMB,J Biol Che,Structural,£1334.16,,,,,
23129765,ASBMB,Journal of,Contrasti,£1134.50,,,,,
 PMC3516,ASBMB,Journal of,Novel ket,£1150.60,,,,,
PMC35813,ASBMB,Journal of,Immobiliz,£1225.26,,,,,
PMC35549,ASBMB,Journal of,Deubiquit,£1246.42,,,,,
PMC27579,ASBMB,Journal of,Mechanis,£1246.76,,,,,
NA,ASBMB,Journal of,Matrilin-1,£1260.90,,,,,
3234717,ASBMB,Journal of,Methioni,£1276.08,,,,,
PMC31732,ASBMB,Journal of,The T cell,£1286.86,,,,,
3696646,ASBMB,Journal of,Comparat,£1287.75,,,,,
PMCID: 36,ASBMB,JOURNAL,STRUCTUR,£1314.53,,,,,
3431625,ASBMB,Journal of,Opticin Ex,£1343.39,,,,,
PMC34880,ASBMB,Journal of,Solution,£1443.99,,,,,
2339840 P,ASBMB,Journal of,Expandin,£1545.10,,,,,
PMC36308,ASBMB,Journal of,The Sec7,£1552.26,,,,,
2952269,ASBMB,Journal of,SSS1p is r,£1556.61,,,,,
3121340,ASBMB,Journal of,Preferent,£1556.61,,,,,
PMC35676,ASBMB,JOURNAL,Talin 1 ha,£1572.24,,,,,
PMC37743,ASBMB,Journal of,Functiona,£1580.47,,,,,
PMC36308,ASBMB,Journal of,Cross-spe,£1600.25,,,,,
23569211,ASBMB,Journal of,Highly div,£1609.66,,,,,
PMC34880,ASBMB,Journal of,Biophysic,£1610.31,,,,,
PMC37246,ASBMB,Journal of,Differenti,£1621.62,,,,,
2797226,ASBMB,Journal of,Nucleotid,£1707.08,,,,,
PMC34425,ASBMB,Journal of,Hypoxia-i,£1763.21,,,,,
2898433,ASBMB,Journal of,Interactio,£2003.13,,,,,
3397837,ASBMB,Journal of,Specific ?-,£2032.22,,,,,
 PMCID: P,ASBMB,Journal of,Hepatitis,£2311.57,,,,,
2975197,ASBMB,Journal of,Cell Cycle,£2344.79,,,,,
PMC32348,ASBMB,Journal of,Picomolar,£999999.00,,,,,
3137072,ASBMB,Journal of,Characteri,£917.50,,,,,
PMC35222,ASBMB,Journal of,"Direct and indirect control of MAPK pathway associated components, BRAP/IMP and CRAF, by",£929.31,,,,,
,,,the deubiquitylating enzyme USP15*,,,,,,
: PMC3711,ASBMB,Journal of,Glycoprot,£992.01,,,,,
PMCID: P,ASBMB,MCP (Mol,Global Su,£1294.01,,,,,
PMC37345,ASBMB,Molecular,Heteroge,£1545.70,,,,,
PMC31732,ASBMB,The journ,The T-cel,£1281.15,,,,,
PMCID: P,ASBMB,The Journ,Galactose,£1311.73,,,,,
PMCID: P,ASBMB,The Journ,Allosteric,£1324.57,,,,,
PMCID: P,ASBMB,The Journ,Structure,£1340.75,,,,,
PMC35279,ASBMB,The Journ,Structural,£1518.46,,,,,
23698002,ASBMB,The Journ,T-Cell Rec,£1566.89,,,,,
23443656,ASBMB Ca,Jnl Biologi,Biochemi,£381.04,,,,,
PMC33911,ASBMB/C,Journal Bi,Defining t,£938.75,,,,,
PMC37571,ASBMB/C,Journal of,Fused in S,£1188.39,,,,,
23589301,ASBMC /C,Journal of,Defining t,£1055.07,,,,,
3811811,ASM,Infection,Zebrafish,£1529.54,,,,,
PMC35714,ASM,Journal of,Estimatin,£1901.79,,,,,
PMCID: P,ASM (Am,Antimicro,Comparis,£1299.39,,,,,
PMC38263,Associatio,Journal of,Does opti,£1157.88,,,,,
23409763,Bentham,Current T,The Thera,£2291.22,,,,,
23885220,Benthan S,Current A,Ion mobili,£2142.99,,,,,
Monograp,Berhahn B,"Evidence,",Parasite l,£651.25,,,,,
Monograp,Berhahn B,"Evidence,",Studying t,£651.25,,,,,
23713614,Biochem J,Biochem J,Proteolyti,£1800.00,,,,,
23769672,Biochem J,Molecular,ERdj5 is th,£3906.43,,,,,
PMID:239,BioMed C,Arthritis R,Transcript,£1608.00,,,,,
22738332,BioMed C,BioMed C,Long-ter,£1350.00,,,,,
PMC 3533,BioMed c,BMC  Publ,Geograph,£1536.00,,,,,
PMC33982,BioMed C,BMC Biolo,Detailed i,1674$,,,,,
PMID: 240,BioMed C,BMC Gen,The physi,1375.8$,,,,,
PMID:234,BioMed C,BMC Gen,Patterns o,2010$,,,,,
PMC28436,BioMed C,BMC Gen,Trichomo,1204.38$,,,,,
PMCID:,BioMed C,BMC Gen,Enhancing,1254.6$,,,,,
    PMC3636053,,,,,,,,,
3526451,Biomed C,BMC Gen,Advances,1476$,,,,,
PMCID:,BioMed C,BMC Heal,Communi,£1536.00,,,,,
    PMC3664635,,,,,,,,,
3570299,BioMed C,BMC Medi,Maternal,£1536.00,,,,,
PMC36168,BioMed C,BMC Medi,Associatio,£1734.00,,,,,
PMC35669,BioMed C,BMC Medi,Genetic e,£1794.00,,,,,
PMC37263,BioMed C,BMC Micr,Sub-inhib,£1375.80,,,,,
PMC36409,BioMed C,BMC Mole,Multiple t,£1536.00,,,,,
PMC35345,BioMed C,BMC Neur,Risk of fra,£1476.00,,,,,
PMC35797,BioMed C,BMC Neur,Steerable,£1314.60,,,,,
PMC35375,BioMed c,BMC Psyc,Rates of u,£1180.80,,,,,
3637822,Biomed C,BMC Psyc,Detecting,£1650.51,,,,,
PMCID:,BioMed C,BMC Publi,Social acc,£1314.60,,,,,
    PMC3637551,,,,,,,,,
PMCID:,BioMed C,BMC Publi,The role o,£1536.00,,,,,
    PMC3637528,,,,,,,,,
3751660,BioMed C,BMC Publi,Impleme,£437.00,,,,,
PMCID:,Biomed C,BMC Rese,Prevalenc,£729.30,,,,,
    PMC3766112,,,,,,,,,
PMC35284,Biomed C,BMC Vete,Prevalenc,£1230.00,,,,,
PMC36855,Biomed C,BMS Geno,The signif,£1608.00,,,,,
PMC34607,BioMed C,Clinical Pr,Detection,£1242.00,,,,,
PMCID: P,BioMed C,EvoDevo,Early emb,£1564.50,,,,,
PMID:238,BioMed C,Genome,The geno,£1788.90,,,,,
PMC34399,BioMed C,Genome,The fine-s,£1950.00,,,,,
PMC 3580,BioMed C,Genome,The multi,£2010.00,,,,,
PMC37067,BioMed C,Genome,Identifica,£2010.00,,,,,
3751770,BioMed C,Internatio,Socio-eco,£1398.00,,,,,
PMCID: P,BioMed C,Internatio,Do predic,£719.97,,,,,
PMC37653,Biomed C,Internatio,Developi,£1315.80,,,,,
PMID: 233,BioMed C,Internatio,Comparin,£867.38,,,,,
PMC35057,BioMed C,Journal of,USRCAT:,£882.12,,,,,
PMC35207,Biomed C,Journal of,TLR-4 ligat,£1295.40,,,,,
PMC3598237,BioMed C,Lipids in H,Evaluatio,£1156.50,,,,,
PMC36558,BioMed C,Malaria Jo,Artemisin,£1268.70,,,,,
PMC 3639,BioMed C,Malaria Jo,Urbanizati,£1309.50,,,,,
PMC 3444,BioMed c,Malaria Jo,Funding f,£1632.00,,,,,
PMC37658,BioMed C,Molecular,Identifica,£1162.80,,,,,
3723448,BioMed C,Molecular,Weaker c,£1428.00,,,,,
3545919,BioMed C,Molecular,Galanin-e,£1830.00,,,,,
PMC35460,BioMed C,Nutrition,Nutrition,£1680.00,,,,,
3659006,Biomed C,Orphanet,Brittle cor,£1340.10,,,,,
PMCID:,BioMed C,Parasites,Stability a,£1173.00,,,,,
    PMC3727979,,,,,,,,,
PMCID: P,BioMed C,Public He,Walking a,£384.00,,,,,
PMCID:    ,BioMed C,Respirato,Can spiro,£1524.90,,,,,
PMCID:,BioMed C,Respirato,Neutroph,£1902.00,,,,,
    PMC3726453,,,,,,,,,
,,,,,,,,,
PMC31903,BioMed C,Virology J,Label-fre,£1242.00,,,,,
3681581,BioMed C,BMC Gen,Transcript,£608.52,,,,,
3708772,BioMed C,BMC Gen,Phenotyp,£999999.00,,,,,
3639180,BioMed C,BMC Infec,The recep,£1280.00,,,,,
3721994,BioMed C,Hum Reso,Absentee,£1525.00,,,,,
3620707,BioMed C,Impleme,Designing,£1345.00,,,,,
3544599,BioMed C,Malaria Jo,Shifts in,£1235.00,,,,,
3614520,BioMed C,Malaria Jo,The effect,£1235.00,,,,,
3652741,BioMed C,Parasit Ve,The role o,£1200.00,,,,,
PMC35774,BioMed C,RESPIRAT,Sputum m,£1854.00,,,,,
PMC37656,BioMed C,AIDS Rese,Collective,£1240.00,,,,,
PMC 3599,BioMed C,BMC Pedi,A retrosp,£1280.00,,,,,
PMC 3570,BioMed C,BMC Publi,Tuberculo,£1280.00,,,,,
PMC 3599,BioMed C,BMC Publi,Maternal,£1280.00,,,,,
PMC36513,BioMed C,BMC Publi,Older HIV,£1280.00,,,,,
PMC35296,BioMed C,Human Re,Human re,£1125.00,,,,,
PMC37508,BioMed C,Trials ,Evualatio,£1165.00,,,,,
PMCID: P,BioMed C,BMC Infec,Endotoxa,£1536.00,,,,,
PMC37166,BioMed C,Veterinar,Understa,£9.93,,,,,
PMCID: P,Biophysic,Biophysic,GABA bin,£675.29,,,,,
PMCID: P,Biophysic,Biophysic,Single-mo,£683.96,,,,,
23132696,BioScienti,European,Novel H6,£1200.00,,,,,
3535885,BioScienti,Journal of,Stress-de,£1200.00,,,,,
PMC36729,BioScienti,Journal of,Stable co,£1200.00,,,,,
23132913,BioScienti,Journal of,A SULT2A,£2400.00,,,,,
PMC30219,Bioscienti,Reproduc,Influence,£1200.00,,,,,
22533473,Blackwell,Cellular M,Modulati,£1800.00,,,,,
NA,BMC,Arthritis R,Myeloid r,£1315.80,,,,,
PMC33128,BMC,BMC Heal,The devel,£1128.00,,,,,
PMC37166,BMC,BMC Infec,The propo,£1375.80,,,,,
PMC3750443,BMC,BMC Medi,Taking et,£1315.80,,,,,
,,,,,,,,,
In Process,BMC,BMC Medi,Correlatio,£1290.00,,,,,
In Process,BMC,BMC Medi,HIV-assoc,£1605.30,,,,,
NA,BMC,BMC Publi,Intimate,£1254.60,,,,,
PMC38443,BMC,BMC Publi,Do accura,£1315.80,,,,,
pub Aug 2,BMC,BMC Publi,Education,£1315.80,,,,,
NA,BMC,BMC Publi,Alcohol as,£1315.80,,,,,
PMC37353,BMC,BMC Publi,Associatio,£1536.00,,,,,
PMCID: P,BMC,BMC Publi,Evidence,£1536.00,,,,,
PMC36137,BMC,BMC Publi,Effectiven,£1608.00,,,,,
PMC38486,BMC,BMC Publi,The effect,£475.62,,,,,
PMC33480,BMC,Cost Effec,Cost and c,£1302.00,,,,,
Epub ahe,BMC,Genome,Targeted,£1728.90,,,,,
PMC34684,BMC,Malaria Jo,Sub-opti,£1113.50,,,,,
PMC3691584,BMC,Malaria Jo,Tools for,£1236.00,,,,,
PMC36051,BMC,Malaria Jo,Measure,£1268.70,,,,,
PMC35025,BMC,Malaria Jo,Rationale,£1396.20,,,,,
PMC3706230,BMC,Orphanet,SURF1 def,£1280.10,,,,,
,,,,,,,,,
PMC37235,BMC,Parasites,Monitorin,£1233.00,,,,,
PMC36866,BMC,Trials,The impac,£1130.40,,,,,
PMC34950,BMC,Trials,Lovastatin,£1156.50,,,,,
PMC30416,BMC,Trials,Cluster ra,£1350.00,,,,,
PMC36682,BMC,Trials,Communi,£999999.00,,,,,
PMC36862,BMJ,BJOPHTH,Near-infr,£2340.00,,,,,
PMC35216,BMJ,BMJ,Heat and r,£3000.00,,,,,
NA,BMJ,BMJ,Complete,£3600.00,,,,,
PMC36127,BMJ,BMJ,Study pro,£810.00,,,,,
PMC35330,BMJ,BMJ Open,Weekend,£1500.00,,,,,
PMC36576,BMJ,BMJ Open,Develop,£1620.00,,,,,
PMC3731707,BMJ,BMJ Open,The Small,£1652.40,,,,,
,,,,,,,,,
PMC3752053,BMJ,BMJ Open,How activ,£1652.40,,,,,
,,,,,,,,,
PMC36329,BMJ,British Jo,Eyescores : An open platform for secure electronic data and photographic evidence  collection in ophthalmological field studies,£2040.00,,,,,
PMC37866,BMJ,British Jo,In vivo co,£2340.00,,,,,
3489107,BMJ,British Me,Opiate su,£3000.00,,,,,
PMC37241,BMJ,Frontline,Measure,£720.00,,,,,
PMC37241,BMJ,Frontline,Developi,£720.00,,,,,
PMC37309,BMJ,Frontline,Sexually T,£720.00,,,,,
PMC37565,BMJ,Journal of,Develop,£2340.00,,,,,
NA,BMJ,Journal of,Socioecon,£1989.00,,,,,
NA,BMJ,Journal of,Elective v,£2040.00,,,,,
NA,BMJ,Journal of,Combine,£1989.00,,,,,
PMC37565,BMJ,Journal of,Can the di,£2340.00,,,,,
NA,BMJ,Journal of,A clinical,£2040.00,,,,,
PMC36462,BMJ,Journal of,The Val15,£2040.00,,,,,
PMC3623030,BMJ,Journal of,Olfactory,£2040.00,,,,,
,,,,,,,,,
PMC37495,BMJ,Sexually T,Trichomo,£2340.00,,,,,
PMC35861,BMJ ,BMJ,Estimatin,£1500.00,,,,,
PMC35512,BMJ ,Gut,A basal gr,£2040.00,,,,,
21903599,BMJ Grou,Archives,What caus,£2040.00,,,,,
24061777,BMJ Grou,Archives,Sleep patt,£2340.00,,,,,
PMC36249,BMJ Grou,BMJ,Orlistat a,£3600.00,,,,,
PMC3612744,BMJ Grou,BMJ Open,Predictors,£1500.00,,,,,
,,,,,,,,,
PMC37520,BMJ Grou,BMJ OPEN,A qualitat,£1620.00,,,,,
NA,BMJ Grou,BMJ QUAL,Culture a,£1950.00,,,,,
23665989,BMJ Grou,Gut,The parad,£2340.00,,,,,
NA,BMJ Grou,Gut,Obese pat,£2340.00,,,,,
Epub ahe,BMJ Grou,Heart,South Asi,£2040.00,,,,,
3596772,BMJ Grou,Journal of,Trajectori,£2040.00,,,,,
PMC38128,BMJ Grou,Journal of,Moral res,£2040.00,,,,,
NA,BMJ Grou,Medical H,Ideology,£2340.00,,,,,
PMCID:,BMJ Grou,Sexually T,Estimatin,£2040.00,,,,,
    PMC3730896 ,,,,,,,,,
PMCID:,BMJ group,Thorax,Transient,£2040.00,,,,,
    PMC3446777,,,,,,,,,
PMCID:,BMJ group,Thorax,IL-25 driv,£2040.00,,,,,
    PMC3534261,,,,,,,,,
23698510  ,BMJ Grou,Sex Trans,Cross-sect,£1700.00,,,,,
PMCID: P,BMJ Journ,Archives, Psychom,£2040.00,,,,,
PMC34041,BMJ Publi,BMJ,Use of ris,£3000.00,,,,,
PMID: 235,BMJ Publi,BMJ Open,The EPIC-,£1620.00,,,,,
3752052,BMJ Publi,BMJ open,Cost-effe,£1680.00,,,,,
PMID: 237,BMJ Publi,Journal of,Economic,£1755.00,,,,,
PMCID: P,BMJ Publi,Journal of,The Adde,£2040.00,,,,,
PMCID: P,BMJ Publi,Journal of,The long-t,£2040.00,,,,,
23924687,BMJ PUBLI,Postgradu,Operator,£2040.00,,,,,
PMCID: P,BMJ Publi,Postgradu,Antithro,£2040.00,,,,,
PMC37866,BMJ Publi,Veterinar,Proactive,£2040.00,,,,,
NA,BMJ Publi,BMJ,Could NIC,£3000.00,,,,,
NA,BMJ Publi,BMJ,Improving,£3000.00,,,,,
NA,BMJ Publi,BMJ,Pragmatic,£3000.00,,,,,
NA,BMJ Publi,BMJ,Translatin,£3000.00,,,,,
PMID: 237,BMJ Publi,THORAX a,Metformi,£2340.00,,,,,
NA,Brill,European,Adding va,£779.72,,,,,
3703578,British Me,BMJ open,Psychosoc,£1275.00,,,,,
PMC35342,British Me,Journal of,Flavour id,£2040.00,,,,,
23931322,Byophysic,Biophysic,Aggregati,671.04$,,,,,
23166325,Cadmus,Jnl Biologi,Distinct ro,£1035.00,,,,,
23554485,Cadmus,Journal of,Triple cyst,£1283.00,,,,,
PMC33307,Cadmus ,Heart and,Altered si,£1349.18,,,,,
23264619,CADMUS J,Journal of,Critical rol,£1804.00,,,,,
PMID:230,Cadmus J,Antimico,Elevated c,£1831.18,,,,,
PMID:231,Cadmus J,Infection,Growth of,£1237.76,,,,,
PMC 3421,Cadmus J,J Clin Micr,Resolutio,£1250.66,,,,,
PMCID: 34,CADMUS J,JOURNAL,THE ESCH,£2082.11,,,,,
PMC36977,Cadmus J,Journal of,Develop,£1289.32,,,,,
PMID:232,Cadmus J,mBio,The Evolu,£1355.13,,,,,
PMC38191,Cambridg,Internatio,Covariant,£2034.00,,,,,
PMC31788,Cambridg,Parasitolo,Treatmen,£1800.00,,,,,
PMID2406,Cambridg,Medical H,The Resea,£1020.00,,,,,
PMID2406,Cambridg,Medical H,A Textboo,£1020.00,,,,,
PMID2406,Cambridg,Medical H,Internatio,£2034.00,,,,,
NA,Cambridg,Ageing &,Who care,£1695.00,,,,,
Not yet av,Cambridg,British Jo,"Writing, p",£1695.00,,,,,
PMCID: P,Cambridg,British Jo,Experime,£850.00,,,,,
PMC 3487,Cambridg,Epidemiol,Molecular,£1800.00,,,,,
PMC3757920,Cambridg,Epidemiol,Tracking s,£2034.00,,,,,
,,,,,,,,,
PMC32192,Cambridg,Expert Re,Pharmaco,£999999.00,,,,,
Epub ahe,Cambridg,Internatio,"Capacity,",£1020.00,,,,,
NA,Cambridg,Jnl of the,Effects of,£2034.00,,,,,
3566749,Cambridg,Medical H,'I've Neve,£510.00,,,,,
PMCID:,Cambridg,Medical H,Mrs Killer,£510.00,,,,,
    PMC3483757,,,,,,,,,
PMC31793,Cambridg,Parasitolo,Screening,£1500.00,,,,,
PMC30219,Cambridg,Parasitolo,Acquired i,£1800.00,,,,,
23734876,Cambridg,Parasitolo,Determin,£2034.00,,,,,
PMC37613,Cambridg,Parasitolo,Trichuris,£2034.00,,,,,
PMID: 239,Cambridg,Parasitolo,Target-Ba,£2034.00,,,,,
PMC35445,Cambridg,Psycholog,Patients’,£1800.00,,,,,
PMC34584,Cambridg,Public He,Prevalenc,£2034.00,,,,,
PMC34888,Cambridg,Pyscholog,A Compar,£1800.00,,,,,
NA,Cambridg,Urban His,"Leisure, e",£2034.00,,,,,
PMC3472342,Cambridg,Visual Ne,Masking,£2034.00,,,,,
,,,,,,,,,
PMID2297,Camdus J,Journal of,Intra and i,£1565.06,,,,,
PMC37388,Cell Press,American,ELAC2 mu,£2418.34,,,,,
PMCID: P,Cell Press,Stem Cell,Rebuildin,£2340.55,,,,,
3589712,Cenveo P,Journal of,Analysis o,£2310.83,,,,,
23785211,Cenveo P,Journal of,Acute CD8,£1604.82,,,,,
PMC35032,COACTIO,Journal of,Quantifyi,£1370.63,,,,,
PMC34185,Cold Sprin,Genes &,Autoregul,£1501.44,,,,,
3533127,Cold Sprin,Learning a,The medi,£1519.71,,,,,
PMC34899,Cold Sprin,Genes &,Brr2p-me,£1267.34,,,,,
PMCID: P,Cold Sprin,Genome,Copy num,£1491.24,,,,,
PMC35618,Cold Sprin,Genome,Differenti,£1548.77,,,,,
PMC35046,Cold Sprin,RNA,Kinetic an,£910.05,,,,,
PMC35277,Cold Sprin,RNA,The associ,£1107.57,,,,,
PMID: 240,Company,Journal of,A new kin,£2400.00,,,,,
3558749,Company,Biology O,Highly eff,£1044.00,,,,,
PMCID: P,Company,Biology O,Olfactory,£1044.00,,,,,
NA,Company,Biology O,Nrf2 impa,£1044.00,,,,,
3509734,Company,Develop,Dishevell,£1044.00,,,,,
3621487,Company,Develop,A Cul-3-B,£1620.00,,,,,
PMC31529,Company,Develop,VEGF sign,£1620.00,,,,,
PMC3699283,Company,Develop,Syndecan,£2400.00,,,,,
,,,,,,,,,
PMCID: P,Company,Develop,The Nm23,£2400.00,,,,,
PMID: 238,Company,Develop,Cell and ti,£2400.00,,,,,
NA,Company,Develop,Eph/Ephri,£2400.00,,,,,
PMC3603409,Company,Develop,Limk2 me,£1044.00,,,,,
,,,,,,,,,
3597032,Company,Disease M,Inflamma,£1620.00,,,,,
23704353,Company,J Cell Sci.,A dual rol,£2400.00,,,,,
3613178,Company,Journal of,Positional,£1620.00,,,,,
3613179,Company,Journal of,Get3 is a h,£1620.00,,,,,
3757329,Company,Journal of,The antag,£2400.00,,,,,
NA,Company,Journal of,Expressio,£2400.00,,,,,
PMC35333,Company,Journal of,PKA isofo,£999999.00,,,,,
